Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),,PT,2014,,31.4
2014,A,0,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),CM_AD,PT,2014,CM_AD,38.8
2014,A,0,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),CM_CE_Sans_YDE,PT,2014,CM_CE_Sans_YDE,20.3
2014,A,0,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),CM_DLA,PT,2014,CM_DLA,4.1
2014,A,0,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),CM_EN,PT,2014,CM_EN,60.4
2014,A,0,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),CM_ES,PT,2014,CM_ES,27.6
2014,A,0,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),CM_LT_Sans_DLA,PT,2014,CM_LT_Sans_DLA,23.9
2014,A,0,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),CM_NO,PT,2014,CM_NO,44.0
2014,A,0,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),CM_NW,PT,2014,CM_NW,53.1
2014,A,0,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),CM_OU,PT,2014,CM_OU,26.3
2014,A,0,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),CM_SU,PT,2014,CM_SU,13.2
2014,A,0,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),CM_SW,PT,2014,CM_SW,25.5
2014,A,0,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),CM_YDE,PT,2014,CM_YDE,6.6
