Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
1991,A,0,C,National_SDG_Report,Infant mortality rate [3.2.1],,PER_1000_LIVE_BIRTHS,2018,,64
1998,A,0,C,National_SDG_Report,Infant mortality rate [3.2.1],,PER_1000_LIVE_BIRTHS,2018,,77
2004,A,0,C,National_SDG_Report,Infant mortality rate [3.2.1],,PER_1000_LIVE_BIRTHS,2018,,74
2011,A,0,C,National_SDG_Report,Infant mortality rate [3.2.1],,PER_1000_LIVE_BIRTHS,2018,,62
2014,A,0,C,National_SDG_Report,Infant mortality rate [3.2.1],,PER_1000_LIVE_BIRTHS,2018,,66
2018,A,0,C,National_SDG_Report,Infant mortality rate [3.2.1],,PER_1000_LIVE_BIRTHS,2018,,48
1991,A,0,C,National_SDG_Report,Taux de mortalité des enfants de moins de 5 ans (Pour 1000 naissances vivantes),,PER_1000_LIVE_BIRTHS,2018,,125
1998,A,0,C,National_SDG_Report,Taux de mortalité des enfants de moins de 5 ans (Pour 1000 naissances vivantes),,PER_1000_LIVE_BIRTHS,2018,,151
2004,A,0,C,National_SDG_Report,Taux de mortalité des enfants de moins de 5 ans (Pour 1000 naissances vivantes),,PER_1000_LIVE_BIRTHS,2018,,144
2011,A,0,C,National_SDG_Report,Taux de mortalité des enfants de moins de 5 ans (Pour 1000 naissances vivantes),,PER_1000_LIVE_BIRTHS,2018,,122
2014,A,0,C,National_SDG_Report,Taux de mortalité des enfants de moins de 5 ans (Pour 1000 naissances vivantes),,PER_1000_LIVE_BIRTHS,2018,,112
2018,A,0,C,National_SDG_Report,Taux de mortalité des enfants de moins de 5 ans (Pour 1000 naissances vivantes),,PER_1000_LIVE_BIRTHS,2018,,79
