Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2011,A,3,C,National_SDG_Report,Nombre de passagers par voie ferroviaire (en milliers),,NUMBER,2015,,1487
2012,A,3,C,National_SDG_Report,Nombre de passagers par voie ferroviaire (en milliers),,NUMBER,2015,,1451
2013,A,3,C,National_SDG_Report,Nombre de passagers par voie ferroviaire (en milliers),,NUMBER,2015,,1419
2014,A,3,C,National_SDG_Report,Nombre de passagers par voie ferroviaire (en milliers),,NUMBER,2015,,1559
2015,A,3,C,National_SDG_Report,Nombre de passagers par voie ferroviaire (en milliers),,NUMBER,2015,,1663
2011,A,0,C,National_SDG_Report,Volume de fret par voie ferroviaire (en Tonnes),,T,2015,,1541
2012,A,0,C,National_SDG_Report,Volume de fret par voie ferroviaire (en Tonnes),,T,2015,,1617
2013,A,0,C,National_SDG_Report,Volume de fret par voie ferroviaire (en Tonnes),,T,2015,,1664
2014,A,0,C,National_SDG_Report,Volume de fret par voie ferroviaire (en Tonnes),,T,2015,,1664
2015,A,0,C,National_SDG_Report,Volume de fret par voie ferroviaire (en Tonnes),,T,2015,,2113
