Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2010,Normal value,Units,Country Data,National_SDG_Report,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,14.5
2011,Normal value,Units,Country Data,National_SDG_Report,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,14.7
2012,Normal value,Units,Country Data,National_SDG_Report,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,15.1
2013,Normal value,Units,Country Data,National_SDG_Report,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,15.0
2014,Normal value,Units,Country Data,National_SDG_Report,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,14.4
2015,Normal value,Units,Country Data,National_SDG_Report,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,14.7
2016,Normal value,Units,Country Data,National_SDG_Report,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,14.9
2017,Normal value,Units,Country Data,National_SDG_Report,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,15.1
2010,Normal value,Thousands,Country Data,National_SDG_Report,Manufacturing value added per capita [9.2.1],,Local currency,,659.011
2012,Normal value,Thousands,Country Data,National_SDG_Report,Manufacturing value added per capita [9.2.1],,Local currency,,108.6
2013,Normal value,Thousands,Country Data,National_SDG_Report,Manufacturing value added per capita [9.2.1],,Local currency,,113.3
2015,Normal value,Thousands,Country Data,National_SDG_Report,Manufacturing value added per capita [9.2.1],,Local currency,,120.9
2017,Normal value,Thousands,Country Data,National_SDG_Report,Manufacturing value added per capita [9.2.1],,Local currency,,132.2
